date,cloud_cover,valid_px,ndwi_mean,ndwi_std,ndti_mean,ndti_std,turb_mean,turb_std
2021-01-14,12.491551,5012,0.6241,0.1687,-0.3134,0.0675,0.5268,0.0796
2021-01-19,2.420639,5013,0.4515,0.0743,-0.2637,0.045,0.5847,0.0574
2021-01-19,16.741792,61147,0.4065,0.103,-0.2415,0.0702,0.6173,0.113
2021-01-24,0.02994,5014,0.8467,0.1859,-0.4299,0.1105,0.4067,0.1038
2021-01-24,6.27761,80667,0.6156,0.1292,-0.3741,0.0756,0.46,0.0816
2021-03-05,0.019937,5014,0.9873,0.0032,-0.6859,0.14,0.1943,0.0969
2021-03-05,0.023119,80667,0.7095,0.1131,-0.4432,0.0541,0.3877,0.0524
2021-04-14,0.184462,2022,0.1231,0.089,-0.1257,0.167,0.8199,0.3031
2021-04-19,0.042886,5014,0.9827,0.0215,-0.5226,0.0993,0.319,0.0843
2021-04-19,0.330371,80666,0.6322,0.0885,-0.3597,0.045,0.4725,0.0485
2021-04-24,8.071144,5014,0.9814,0.0073,-0.6565,0.1731,0.2202,0.1241
2021-04-24,0.275616,80667,0.6808,0.103,-0.3729,0.0518,0.4588,0.0546
2021-04-29,6.66538,5014,0.9713,0.0418,-0.441,0.0722,0.3914,0.0694
2021-04-29,0.141433,80667,0.6239,0.0734,-0.3484,0.0415,0.4847,0.0456
2021-05-14,15.297524,5014,0.9673,0.0433,-0.4735,0.0954,0.3629,0.0859
2021-05-14,2.607932,80667,0.7057,0.1402,-0.3774,0.0722,0.456,0.076
2021-05-19,0.470088,80666,0.9116,0.0894,-0.5267,0.0996,0.3154,0.0839
2021-05-19,0.018799,5014,0.9794,0.0085,-0.7341,0.1757,0.1653,0.119
2021-05-29,10.685486,5014,0.6651,0.0996,-0.3784,0.0694,0.4546,0.0727
2021-07-03,11.96376,5014,0.9877,0.0051,-0.5708,0.0848,0.2769,0.0685
2021-07-03,11.59457,80667,0.938,0.07,-0.4795,0.071,0.3549,0.0651
2021-07-13,9.487171,4867,0.6877,0.2261,-0.3606,0.0972,0.4785,0.1201
2021-07-13,5.450152,79420,0.6544,0.1867,-0.3445,0.0872,0.4944,0.1068
2021-07-28,14.261435,5014,0.9461,0.0622,-0.4382,0.0668,0.3936,0.0641
2021-08-02,5.557825,5014,0.6993,0.0696,-0.3291,0.0432,0.5063,0.0489
2021-08-02,18.423138,80667,0.6159,0.0805,-0.3051,0.0476,0.5345,0.0557
2021-08-07,16.686936,5014,0.9701,0.0377,-0.4322,0.0484,0.398,0.0469
2021-08-07,13.872687,80667,0.7678,0.0752,-0.3655,0.0397,0.4659,0.0424
2021-08-17,0.172315,5014,0.9718,0.0358,-0.4815,0.0652,0.3525,0.0587
2021-08-17,0.122146,80656,0.8311,0.086,-0.4198,0.0483,0.4103,0.0477
2021-08-22,10.446622,5014,0.9733,0.0337,-0.4544,0.0815,0.3795,0.077
2021-08-22,0.060298,80667,0.8443,0.0777,-0.4043,0.052,0.4262,0.0523
2021-09-01,1.515211,80667,0.6309,0.0713,-0.331,0.0397,0.5039,0.0443
2021-09-01,0.218174,5014,0.6993,0.0485,-0.3463,0.0457,0.4873,0.0503
2021-09-06,2.401359,5014,0.9895,0.0053,-0.4734,0.0712,0.3606,0.066
2021-09-06,2.477388,80667,0.8054,0.0874,-0.3919,0.039,0.438,0.0403
2021-09-11,0.912064,5014,0.9267,0.0558,-0.4024,0.053,0.4282,0.0539
2021-09-11,4.156228,80667,0.7957,0.0763,-0.3766,0.0379,0.4539,0.0396
2021-10-06,6.543383,5014,0.7727,0.1128,-0.386,0.0641,0.4461,0.068
2021-10-06,7.571048,80667,0.6251,0.0766,-0.3404,0.0362,0.4932,0.0401
2021-10-26,2.905386,4728,0.8093,0.1531,-0.4034,0.0814,0.4306,0.0953
2021-10-26,11.794836,74677,0.5776,0.1231,-0.3266,0.0562,0.5105,0.0671
2021-11-15,5.117674,5014,0.2761,0.043,-0.121,0.0229,0.7849,0.0366
2021-11-15,1.782804,80298,0.2423,0.034,-0.1336,0.0212,0.7649,0.033
2021-12-10,15.560171,5014,0.2236,0.045,-0.0831,0.0331,0.8483,0.0577
2021-12-10,4.692274,80392,0.1756,0.0439,-0.0766,0.0243,0.8588,0.0433
2021-12-15,0.004479,80666,0.0685,0.0115,-0.0437,0.0064,0.9163,0.0117
2021-12-15,0.035162,80666,0.4765,0.1803,-0.2628,0.0871,0.5918,0.1162
2021-12-15,0.028112,5014,0.6866,0.2591,-0.301,0.1085,0.5487,0.1379
2021-12-15,2e-05,5014,0.083,0.0428,-0.0448,0.0075,0.9143,0.0138
2021-12-20,8.843849,5014,0.4122,0.0941,-0.2289,0.0398,0.6292,0.0529
2021-12-20,10.647207,80664,0.2018,0.0608,-0.1778,0.0351,0.6996,0.0521
2021-12-25,3.926805,5014,0.4107,0.1588,-0.2163,0.0836,0.652,0.1125
2021-12-25,2.979781,80665,0.3917,0.0775,-0.2466,0.0467,0.6068,0.064
2021-12-30,16.834814,3553,0.3302,0.0897,-0.145,0.04,0.7489,0.0634
2022-02-13,14.494196,5014,0.0947,0.0121,-0.0609,0.0098,0.8853,0.0173
2022-02-18,0.018845,5014,0.1216,0.013,-0.0715,0.0112,0.8667,0.0195
2022-02-18,0.018862,5014,0.1234,0.0135,-0.0714,0.0114,0.867,0.02
2022-02-18,0.492185,80664,0.1055,0.014,-0.0722,0.0099,0.8655,0.0173
2022-02-18,0.493001,80664,0.1053,0.0142,-0.0719,0.01,0.8661,0.0174
2022-03-10,15.274213,5014,0.1116,0.02,-0.0253,0.024,0.9518,0.0499
2022-03-10,15.266423,5014,0.1092,0.0157,-0.0228,0.0241,0.9566,0.0502
2022-03-20,18.007727,73451,0.0736,0.0123,-0.0407,0.0076,0.9219,0.0143
2022-03-20,18.008833,73561,0.0737,0.0127,-0.0402,0.0076,0.9229,0.0144
2022-03-20,4.847585,2716,0.0808,0.0325,-0.0354,0.0191,0.9324,0.0373
2022-03-20,4.844543,2701,0.0783,0.0317,-0.0363,0.0186,0.9306,0.0361
2022-04-04,15.773147,80667,0.0467,0.0077,-0.0275,0.005,0.9465,0.0094
2022-04-04,15.762034,80666,0.049,0.0084,-0.0292,0.0049,0.9433,0.0093
2022-04-19,5.844493,5014,0.0625,0.0106,-0.0336,0.0213,0.9355,0.0251
2022-04-19,5.851268,5014,0.0597,0.011,-0.0308,0.0214,0.9407,0.0253
2022-04-19,1.742495,80639,0.0567,0.0196,-0.0347,0.008,0.933,0.0149
2022-04-19,1.747091,80666,0.0566,0.0232,-0.0345,0.008,0.9334,0.0149
2022-05-04,0.002621,80655,0.0526,0.011,-0.0368,0.0073,0.929,0.0135
2022-05-09,1.8245,5014,0.0623,0.0327,-0.0371,0.0076,0.9285,0.0142
2022-05-09,1.825097,5014,0.0629,0.0354,-0.0362,0.0079,0.9303,0.0146
2022-05-09,1.224533,80662,0.0562,0.0094,-0.0392,0.0062,0.9247,0.0114
2022-05-09,1.220961,80667,0.0558,0.0094,-0.0389,0.0061,0.9252,0.0113
2022-05-14,12.323079,5529,0.0378,0.0135,-0.0121,0.0074,0.9761,0.0144
2022-05-14,12.120719,16778,0.0325,0.0138,-0.0104,0.0076,0.9796,0.0148
2022-05-29,4.11138,80667,0.0583,0.014,-0.0411,0.0078,0.9212,0.0144
2022-05-29,4.109591,80505,0.0587,0.0132,-0.0414,0.0078,0.9206,0.0144
2022-05-29,4.586327,5014,0.069,0.043,-0.0417,0.0081,0.92,0.0149
2022-05-29,4.595569,5014,0.0673,0.0285,-0.041,0.0082,0.9214,0.0151
2022-06-08,16.656408,5014,0.0787,0.017,-0.0479,0.0076,0.9087,0.0139
2022-06-08,3.001229,80620,0.0738,0.0145,-0.0493,0.0068,0.9061,0.0124
2022-06-13,1.789782,5014,0.0845,0.0332,-0.0556,0.0069,0.8948,0.0123
2022-06-13,0.000538,80292,0.0771,0.0162,-0.0553,0.0068,0.8952,0.0121
2022-06-23,18.966222,80274,0.0813,0.0158,-0.0593,0.0106,0.8883,0.0188
2022-07-08,4.430653,80547,0.0951,0.0144,-0.0482,0.0109,0.9082,0.0201
2022-07-08,3.032656,5014,0.0933,0.0227,-0.0448,0.0097,0.9143,0.0178
2022-07-18,4.325548,5014,0.0873,0.0305,-0.0474,0.0074,0.9096,0.0134
2022-07-18,2.410442,80631,0.0809,0.0089,-0.0502,0.0067,0.9044,0.0121
2022-07-28,15.057394,5014,0.0985,0.0414,-0.0564,0.0068,0.8933,0.0121
2022-07-28,17.419453,80546,0.0919,0.0098,-0.0585,0.0073,0.8896,0.0131
2022-08-02,5.54214,5014,0.093,0.0076,-0.0591,0.0071,0.8886,0.0127
2022-08-02,1.850761,80528,0.0933,0.0149,-0.0639,0.0109,0.8801,0.0191
2022-08-07,6.357431,5014,0.1076,0.008,-0.0621,0.0077,0.8831,0.0137
2022-08-17,0.003202,5014,0.1064,0.0071,-0.0626,0.0077,0.8822,0.0136
2022-08-17,0.446745,80633,0.1094,0.0098,-0.0691,0.0075,0.8708,0.0131
2022-08-22,5.640443,5014,0.1246,0.0138,-0.0734,0.0124,0.8635,0.0215
2022-08-22,5.662347,5014,0.1241,0.0138,-0.073,0.0123,0.8642,0.0214
2022-08-22,11.236645,80598,0.1228,0.0153,-0.0768,0.0114,0.8576,0.0196
2022-08-22,11.220713,80667,0.1223,0.0153,-0.0764,0.0113,0.8582,0.0195
2022-09-11,12.186041,72445,0.101,0.0168,-0.0588,0.0088,0.889,0.0159
2022-09-16,13.878295,80584,0.1048,0.016,-0.0551,0.0096,0.8957,0.0175
2022-11-05,3.750137,4481,0.0934,0.0295,-0.0458,0.0161,0.9128,0.0304
2022-11-10,14.505462,5014,0.1165,0.0116,-0.0573,0.0065,0.8916,0.0116
2022-11-10,5.659271,80666,0.1066,0.0126,-0.0625,0.0068,0.8825,0.0121
2022-11-20,17.654058,2208,0.0859,0.0195,-0.0385,0.0146,0.9263,0.0271
2022-11-20,14.471903,57246,0.0929,0.0187,-0.0513,0.0111,0.9027,0.0205
2022-11-25,12.896982,4727,0.1152,0.028,-0.0627,0.0124,0.8822,0.0227
2022-12-05,1.31614,5011,0.1018,0.0185,-0.0522,0.0062,0.9009,0.0112
2022-12-05,1.301104,80654,0.087,0.0092,-0.052,0.0055,0.9013,0.0099
2022-12-15,0.987153,80662,0.0874,0.0115,-0.053,0.0071,0.8995,0.0127
2022-12-15,1.533575,5014,0.0914,0.0191,-0.0463,0.008,0.9116,0.0145
2023-01-04,11.960013,59274,0.1051,0.021,-0.0629,0.0098,0.8817,0.0176
2023-01-04,11.962333,59201,0.1055,0.0212,-0.0629,0.0099,0.8818,0.0177
2023-01-09,0.001792,5014,0.1007,0.0087,-0.0598,0.0068,0.8871,0.0122
2023-01-09,0.000534,80662,0.0906,0.009,-0.0595,0.0053,0.8878,0.0094
2023-01-09,0.000561,80661,0.0904,0.0089,-0.0593,0.0053,0.8881,0.0093
2023-02-03,5.404143,5014,0.0746,0.0103,-0.048,0.0065,0.9084,0.0117
2023-02-03,5.408054,5014,0.075,0.0105,-0.0482,0.0065,0.9082,0.0118
2023-02-03,0.124104,80660,0.0603,0.0128,-0.0444,0.0078,0.9151,0.0143
2023-02-03,0.123692,80665,0.0603,0.013,-0.0442,0.0079,0.9155,0.0144
2023-03-05,0.587911,5014,0.0975,0.0274,-0.0548,0.0064,0.8961,0.0114
2023-03-05,0.590078,5014,0.1,0.0108,-0.0546,0.0067,0.8965,0.0121
2023-03-05,9e-05,80666,0.0691,0.0094,-0.0482,0.0058,0.9082,0.0105
2023-03-05,8.6e-05,80665,0.0688,0.0094,-0.0479,0.0058,0.9086,0.0105
2023-03-10,0.08488,5014,0.082,0.0161,-0.0518,0.0312,0.9024,0.0325
2023-03-10,0.085673,5014,0.0784,0.0196,-0.0514,0.0246,0.9028,0.0265
2023-03-10,10.073952,80662,0.062,0.0081,-0.0464,0.0051,0.9114,0.0093
2023-03-10,10.037254,80662,0.0623,0.0081,-0.0466,0.0051,0.9111,0.0093
2023-03-15,11.061553,3078,0.0545,0.0313,-0.0289,0.0204,0.9446,0.0388
2023-03-15,11.059683,3047,0.0515,0.0388,-0.0296,0.0196,0.9432,0.0374
2023-04-09,19.117929,5014,0.0805,0.0432,-0.0467,0.0076,0.9109,0.0138
2023-04-09,19.119357,5014,0.0808,0.0487,-0.0464,0.0075,0.9113,0.0138
2023-04-09,9.796991,70792,0.0375,0.028,-0.0288,0.0176,0.9446,0.0335
2023-04-09,9.784679,70926,0.0373,0.0278,-0.0285,0.0176,0.9451,0.0335
2023-04-19,19.75451,5014,0.0722,0.0163,-0.0525,0.0073,0.9004,0.0133
2023-04-19,19.733107,5014,0.0709,0.0095,-0.0522,0.0072,0.9008,0.013
2023-04-19,5.927917,80665,0.0617,0.0069,-0.0488,0.0058,0.9069,0.0105
2023-04-19,5.928527,80660,0.061,0.0071,-0.0483,0.0058,0.9078,0.0105
2023-05-04,0.001911,5014,0.07,0.0309,-0.0476,0.0074,0.9092,0.0134
2023-05-04,0.001798,5014,0.0689,0.0206,-0.0474,0.0073,0.9097,0.0133
2023-05-04,0.110036,80667,0.0594,0.0084,-0.0461,0.0061,0.9118,0.0112
2023-05-09,4.369555,80658,0.064,0.0115,-0.0483,0.0063,0.908,0.0114
2023-05-09,0.001131,5014,0.0729,0.0315,-0.0496,0.0072,0.9055,0.013
2023-05-24,0.169897,80579,0.0624,0.0178,-0.0444,0.007,0.915,0.0128
2023-05-24,0.105222,5014,0.0737,0.0177,-0.0473,0.0072,0.9097,0.0131
2023-05-29,12.912522,80330,0.062,0.0085,-0.0457,0.0069,0.9128,0.0126
2023-05-29,12.901162,80311,0.061,0.0088,-0.045,0.0069,0.914,0.0127
2023-06-18,0.001533,5014,0.0836,0.021,-0.0521,0.0071,0.9011,0.0129
2023-06-18,0.001553,5014,0.0842,0.038,-0.0514,0.0072,0.9023,0.0131
2023-06-18,0.034187,80619,0.0724,0.0084,-0.0501,0.007,0.9047,0.0127
2023-06-18,0.034237,80665,0.0719,0.0095,-0.0498,0.0069,0.9053,0.0126
2023-07-08,3.266391,70870,0.0831,0.024,-0.0491,0.0129,0.9067,0.0239
2023-07-08,3.243911,70814,0.0826,0.0223,-0.0488,0.0134,0.9073,0.0241
2023-07-13,0.000236,5014,0.0894,0.0305,-0.0503,0.0072,0.9044,0.0131
2023-07-13,0.002946,80624,0.0789,0.0156,-0.0485,0.0071,0.9075,0.0129
2023-07-13,7.3e-05,80659,0.0784,0.0181,-0.0482,0.0071,0.9081,0.0129
2023-07-23,2.074167,4145,0.0783,0.0376,-0.0478,0.0194,0.9094,0.0359
2023-07-23,2.077385,4128,0.0787,0.0379,-0.0475,0.0194,0.9099,0.0361
2023-08-02,2.375709,4826,0.0728,0.0282,-0.044,0.0154,0.9161,0.0286
2023-08-02,3.960936,4837,0.0734,0.0283,-0.0443,0.0154,0.9157,0.0284
2023-08-12,0.0,5014,0.1011,0.0238,-0.0537,0.0064,0.8982,0.0115
2023-08-12,0.0,5014,0.101,0.0324,-0.0533,0.0064,0.8988,0.0115
2023-08-12,1.3e-05,80657,0.0938,0.0094,-0.0569,0.0066,0.8924,0.0118
2023-08-12,3e-06,80659,0.0933,0.0093,-0.0566,0.0066,0.893,0.0118
2023-08-27,2.23772,5014,0.1207,0.0134,-0.0706,0.0076,0.8682,0.0132
2023-08-27,1.209206,5014,0.1202,0.0134,-0.0703,0.0076,0.8688,0.0132
2023-08-27,3.511842,80666,0.0982,0.0141,-0.0669,0.0073,0.8746,0.0128
2023-08-27,1.296412,80666,0.0977,0.0146,-0.0666,0.0075,0.8752,0.0131
2023-09-06,0.00634,80666,0.0791,0.0141,-0.0608,0.008,0.8855,0.0141
2023-09-06,0.201091,5014,0.0825,0.0314,-0.0627,0.0077,0.8822,0.0136
2023-09-06,7e-06,5014,0.0829,0.0407,-0.0624,0.0077,0.8827,0.0136
2023-09-06,0.485862,80634,0.0795,0.017,-0.0611,0.0081,0.885,0.0143
2023-09-11,0.280935,5014,0.0922,0.014,-0.0632,0.0074,0.8812,0.0131
2023-09-11,0.13838,5014,0.0922,0.0142,-0.0631,0.0075,0.8814,0.0133
2023-09-11,4.032118,80667,0.0753,0.0123,-0.0574,0.0073,0.8915,0.0131
2023-09-11,2.297036,80655,0.0757,0.0117,-0.0572,0.0071,0.8919,0.0126
2023-09-16,0.000418,80666,0.0795,0.0165,-0.061,0.0086,0.8851,0.0152
2023-09-16,0.000129,5014,0.1038,0.0132,-0.0681,0.006,0.8725,0.0105
2023-09-16,0.0,5014,0.1042,0.0134,-0.0681,0.0061,0.8726,0.0107
2023-09-21,0.040839,5014,0.0872,0.0167,-0.0618,0.0091,0.8837,0.0161
2023-09-21,0.015972,5014,0.0861,0.0161,-0.0613,0.0089,0.8846,0.0158
2023-09-21,4.101947,80667,0.076,0.0246,-0.0574,0.0105,0.8916,0.0187
2023-09-21,2.752857,80666,0.0762,0.0276,-0.0571,0.0106,0.8921,0.0189
2023-09-26,15.800375,80666,0.0829,0.0135,-0.0644,0.0084,0.8792,0.0147
2023-09-26,9.46174,80665,0.083,0.0162,-0.0642,0.0085,0.8795,0.0149
2023-10-06,0.000222,5014,0.1133,0.0106,-0.0795,0.0055,0.8528,0.0095
2023-10-06,0.000567,80650,0.1039,0.0132,-0.0761,0.0062,0.8585,0.0108
2023-10-06,5.3e-05,80665,0.1037,0.0164,-0.076,0.0063,0.8588,0.0109
2023-10-11,0.763003,5014,0.1309,0.0234,-0.0779,0.007,0.8556,0.0119
2023-10-11,10.934351,80667,0.0981,0.0281,-0.068,0.0096,0.8728,0.0168
2023-10-16,12.866732,5014,0.0961,0.0134,-0.0628,0.0077,0.8819,0.0137
2023-10-21,0.623993,80665,0.086,0.0134,-0.0617,0.0075,0.8839,0.0133
2023-10-21,0.449232,5014,0.1046,0.0149,-0.0678,0.0063,0.873,0.011
2023-10-21,0.449995,5014,0.1044,0.0147,-0.0677,0.0063,0.8733,0.011
2023-10-21,0.624417,80666,0.0863,0.0134,-0.0619,0.0075,0.8835,0.0133
2023-11-10,4.057488,5014,0.0856,0.0161,-0.0565,0.0115,0.8932,0.0206
2023-11-10,13.577175,80665,0.0729,0.0185,-0.0523,0.0112,0.9008,0.0201
2023-11-10,6.253818,5014,0.0832,0.0172,-0.0561,0.0119,0.894,0.0213
2023-12-15,8.450393,5014,0.0931,0.0093,-0.0687,0.0065,0.8715,0.0114
2023-12-30,7.4527,5014,0.1009,0.0111,-0.0706,0.0091,0.8683,0.0159
2023-12-30,15.3799,80666,0.1145,0.0131,-0.0853,0.008,0.8429,0.0136
2024-01-24,0.05701,5014,0.1369,0.0243,-0.0824,0.0074,0.8478,0.0125
2024-01-24,7e-05,80664,0.1126,0.0124,-0.0802,0.0065,0.8515,0.0111
2024-01-29,14.051031,5014,0.1259,0.0399,-0.0793,0.0056,0.8531,0.0096
2024-02-03,0.004214,5014,0.1292,0.011,-0.0771,0.0081,0.857,0.0139
2024-02-03,0.004214,5014,0.1295,0.011,-0.0773,0.0081,0.8566,0.0139
2024-02-13,0.666697,5014,0.1136,0.0317,-0.076,0.0072,0.8588,0.0125
2024-02-13,0.837469,80665,0.0895,0.0164,-0.0673,0.0089,0.874,0.0155
2024-02-18,14.54986,80660,0.1059,0.0119,-0.0745,0.0069,0.8614,0.0119
2024-02-23,5.246383,80666,0.0908,0.015,-0.068,0.0083,0.8728,0.0145
2024-02-23,10.422786,5014,0.1052,0.0372,-0.0662,0.0095,0.8759,0.0167
2024-02-28,4.836371,5014,0.1317,0.0222,-0.0766,0.0063,0.8578,0.0109
2024-02-28,18.876,79503,0.1013,0.0221,-0.0683,0.0151,0.8726,0.0275
2024-03-09,3.092528,5014,0.121,0.0226,-0.0748,0.0097,0.8609,0.0172
2024-03-14,0.0,5014,0.1202,0.0357,-0.0744,0.0077,0.8617,0.0133
2024-03-14,0.000113,80666,0.0889,0.0134,-0.068,0.008,0.8728,0.0139
2024-04-03,0.000206,5014,0.1005,0.0182,-0.0619,0.0093,0.8835,0.0164
2024-04-03,0.215942,80637,0.0765,0.0274,-0.0566,0.0105,0.8931,0.0186
2024-04-13,3.907028,5011,0.097,0.0321,-0.0671,0.0249,0.8749,0.0277
2024-04-13,5.275022,80662,0.0704,0.0139,-0.0556,0.0091,0.8948,0.0163
2024-04-23,0.261691,5014,0.0858,0.0143,-0.0579,0.021,0.891,0.0245
2024-04-23,0.330415,80565,0.0644,0.0275,-0.0489,0.0087,0.9069,0.0158
2024-05-23,0.673615,5014,0.1019,0.0424,-0.0663,0.0134,0.876,0.0236
2024-05-28,0.116639,80610,0.0793,0.017,-0.0562,0.0088,0.8937,0.0157
2024-05-28,3.730907,5014,0.1019,0.0286,-0.0647,0.0118,0.8786,0.0207
2024-06-12,7.621048,5014,0.1023,0.0513,-0.0648,0.0094,0.8784,0.0165
2024-06-12,18.881048,80436,0.0789,0.0142,-0.0606,0.0083,0.8859,0.0148
2024-06-27,0.000358,5014,0.1096,0.0529,-0.0651,0.0233,0.8785,0.0359
2024-06-27,0.038478,80538,0.0645,0.0307,-0.05,0.0138,0.9051,0.0214
2024-07-22,0.341432,5014,0.0938,0.0257,-0.0637,0.0091,0.8804,0.016
2024-07-22,0.004051,80645,0.0821,0.0114,-0.0647,0.007,0.8785,0.0124
2024-08-06,11.670204,3371,0.0994,0.0463,-0.0598,0.0194,0.8878,0.0351
2024-08-06,17.220666,78130,0.0779,0.0185,-0.0559,0.01,0.8943,0.018
2024-08-26,1.067973,5014,0.0949,0.0208,-0.0608,0.0084,0.8854,0.0149
2024-08-26,1.941918,80667,0.0699,0.0284,-0.0557,0.0103,0.8947,0.0184
2024-08-31,2.7e-05,5014,0.091,0.031,-0.0619,0.0092,0.8835,0.0163
2024-08-31,0.006098,80667,0.0754,0.0102,-0.0612,0.0064,0.8848,0.0113
2024-09-05,1.055862,5014,0.1114,0.0173,-0.0633,0.0065,0.8811,0.0115
2024-09-05,0.001045,80667,0.0769,0.0118,-0.0589,0.0065,0.8889,0.0116
2024-09-10,0.03292,80667,0.0703,0.016,-0.0603,0.0074,0.8863,0.0131
2024-09-10,0.070269,5014,0.1066,0.0199,-0.0691,0.0207,0.8711,0.0236
2024-10-10,2.292836,5014,0.1248,0.0381,-0.0679,0.005,0.8728,0.0088
2024-10-25,0.002996,5014,0.0933,0.0524,-0.0635,0.0096,0.8807,0.017
2024-10-25,10.843902,80667,0.0778,0.0228,-0.0622,0.0068,0.8829,0.0121
2024-10-30,0.010418,5014,0.0893,0.031,-0.0669,0.0066,0.8747,0.0115
2024-10-30,0.317126,80667,0.0828,0.0093,-0.0683,0.0049,0.8722,0.0086
2024-11-09,0.176572,5014,0.1285,0.0115,-0.0963,0.0092,0.8244,0.0153
2024-11-24,18.462308,5014,0.0714,0.008,-0.0602,0.0065,0.8864,0.0115
2024-11-24,13.919161,80667,0.0728,0.0117,-0.0647,0.0072,0.8786,0.0127
2024-12-14,0.457975,5014,0.1046,0.0154,-0.0757,0.0113,0.8594,0.0196
2024-12-19,18.689689,4570,0.1215,0.0173,-0.0728,0.0102,0.8644,0.0178
2024-12-24,0.0,5014,0.066,0.0209,-0.0503,0.0077,0.9043,0.014
2024-12-24,0.000255,80667,0.0708,0.0137,-0.0557,0.0082,0.8945,0.0147
2024-12-29,0.000411,5014,0.0817,0.0281,-0.0631,0.0076,0.8813,0.0134
2024-12-29,0.437122,80667,0.0738,0.0151,-0.0596,0.0079,0.8876,0.0139
